Suburb,Average of Price,Average of Car,Average of Bedroom2,Average of Bathroom
Keilor East,837504.55,2,3,2
Keilor Lodge,623250.00,2,3,2
Keilor Park,679068.97,2,3,2
Kensington,896945.82,1,2,1
Kew,1868016.74,2,3,2
Kew East,1744630.14,2,3,2
Keysborough,811903.85,2,3,2
Kilsyth,745562.50,2,3,1
Kings Park,569357.14,2,3,1
Kingsbury,755227.32,1,3,1
Kingsville,895534.69,1,3,1
Knoxfield,945200.00,2,4,2
Kooyong,2423333.33,3,3,3
Kurunjang,387708.33,2,3,2
Lalor,664043.75,2,3,1
Langwarrin,636772.73,3,4,2
Laverton,558700.00,3,3,1
Lilydale,752500.00,2,4,2
Lower Plenty,973642.86,2,3,2
Lynbrook,630000.00,2,3,2
Lysterfield,730000.00,2,3,1
Maidstone,731805.07,2,3,1
Malvern,2082107.53,2,3,2
Malvern East,1729761.85,2,3,2
Maribyrnong,903113.77,2,3,2
McKinnon,1602586.96,2,3,2
Meadow Heights,496976.19,2,3,1
Melbourne,613490.00,1,2,1
Melton,434583.33,2,4,2
Melton South,436965.00,2,3,1
Melton West,444660.71,2,4,2
Mentone,1039174.24,2,3,2
Mernda,609207.97,2,4,2
Mickleham,1001500.00,5,4,3
Middle Park,2310693.88,1,3,2
Mill Park,671004.91,2,3,2
Mitcham,1094637.31,2,3,2
Monbulk,720000.00,2,4,2
Mont Albert,1689570.00,2,3,2
Montmorency,917259.46,2,3,2
Montrose,735000.00,2,4,2
Moonee Ponds,1169880.19,1,3,1
Moorabbin,1030772.99,2,3,2
Mooroolbark,763441.18,2,3,2
Mordialloc,1082708.33,2,3,2
Mount Evelyn,590750.00,1,3,1
Mount Waverley,1405320.30,2,4,2
Mulgrave,1058752.25,2,3,2
Murrumbeena,1057201.71,2,3,1
Narre Warren,644653.85,2,3,2
New Gisborne,808750.00,3,4,2
Newport,1056514.44,2,3,1
Niddrie,1003548.54,2,3,2
Noble Park,702193.55,2,3,1
North Melbourne,917630.81,1,2,1
North Warrandyte,1050000.00,2,4,2
Northcote,1330927.92,1,3,1
Notting Hill,1020722.22,2,3,2
Nunawading,1055720.93,2,3,2
Oak Park,855945.86,2,3,2
Oakleigh,1144906.78,2,3,2
Oakleigh East,1192611.11,2,3,2
Oakleigh South,1005734.11,2,3,2
Officer,594750.00,2,4,2
Ormond,1155163.27,2,3,2
Pakenham,499772.73,2,4,2
Parkdale,1150704.55,2,3,2
Parkville,1443683.33,1,2,2
Pascoe Vale,792769.23,2,3,1
Patterson Lakes,743500.00,3,3,1
Plenty,1340000.00,2,4,2
Plumpton,625500.00,2,4,2
Point Cook,664907.01,2,4,2
Port Melbourne,1288803.57,1,2,2
Prahran,1234530.77,1,2,1
Preston,926138.58,2,3,1
Princes Hill,1588884.62,1,3,1
Research,850000.00,1,4,1
Reservoir,720523.40,2,3,1
Richmond,1135949.85,1,2,1
Riddells Creek,803166.67,3,3,2
Ringwood,996273.31,2,3,2
Ringwood East,945296.27,2,3,2
Ringwood North,962038.61,2,4,2
Ripponlea,814590.91,1,2,1
Rockbank,507500.00,2,3,2
Rosanna,1030918.60,2,3,2
Rowville,934512.00,2,4,2
Roxburgh Park,557172.88,2,4,2
Sandhurst,650000.00,2,4,2
Sandringham,1767349.06,2,4,2
